
[SYSTEM INSTRUCTION]
This is an AI Reference Sheet, a global manifest for multiple knowledge files.
1.  **Purpose:** This file is an index linking a document's `DocID`, `Title`, and `Description` to its `SourceFile`. It does not contain document text.
2.  **Structure:** `[DocID: ... | Title: ... | Description: ...] | [SourceFile: ...]`
[DocID: CLAUDEHH6LZTUWG | Title: Citations | Description: Citations feature for providing detailed source attribution when answering questions about documents] | [SourceFile: Claude_Api_2.txt]
[DocID: CLAUDE2YTGIWDLN | Title: Claude-4-Best-Practices | Description: Prompting best practices specific to Claude 4.x models including Sonnet 4.5 and Haiku 4.5] | [SourceFile: Claude_Api_2.txt]
[DocID: CLAUDE43GD9X3TT | Title: Claude-Code-Analytics-Api | Description: Claude Code Analytics Admin API for programmatic access to usage metrics and productivity data] | [SourceFile: Claude_Api_2.txt]
[DocID: CLAUDE25RNR5IJPB | Title: Claude-For-Sheets | Description: Google Sheets extension for integrating Claude directly into spreadsheet cells for prompt engineering at scale] | [SourceFile: Claude_Api_2.txt]
[DocID: CLAUDEHHXD8BZJA | Title: Claude-On-Amazon-Bedrock | Description: Guide for using Claude models through Amazon Bedrock platform] | [SourceFile: Claude_Api_2.txt]
[DocID: CLAUDESW5UK5909 | Title: Claude-On-Vertex-Ai | Description: Guide for using Claude models through Google Vertex AI platform] | [SourceFile: Claude_Api_2.txt]
[DocID: CLAUDE1F74X8D129 | Title: Code-Execution-Tool | Description: Code execution tool for running code, analyzing data, creating visualizations in a secure sandboxed environment] | [SourceFile: Claude_Api_2.txt]
[DocID: CLAUDE9QDUKWN9W | Title: Computer-Use-Tool | Description: Computer use tool for desktop automation with screenshot, mouse, and keyboard control capabilities] | [SourceFile: Claude_Api_2.txt]
[DocID: CLAUDE1WX3OH4GDJ | Title: Context-Editing | Description: Context editing for automatically managing conversation context with tool result and thinking block clearing] | [SourceFile: Claude_Api_2.txt]
[DocID: CLAUDEIFR44RZKZ | Title: Context-Windows | Description: Context window explanation - working memory capacity for text that models can reference when generating responses] | [SourceFile: Claude_Api_3.txt]
[DocID: CLAUDEHXHCDVJWO | Title: Cost-Tracking | Description: SDK cost tracking guide for understanding token usage and billing in the Claude Agent SDK] | [SourceFile: Claude_Api_3.txt]
[DocID: CLAUDE21IUE5AQ0N | Title: Custom-Tools | Description: Custom tools guide for building and integrating custom functionality into Claude Agent SDK] | [SourceFile: Claude_Api_3.txt]
[DocID: CLAUDEH3Q47EH23 | Title: Define-Success | Description: Guidance for defining specific, measurable success criteria for LLM-based applications] | [SourceFile: Claude_Api_3.txt]
[DocID: CLAUDEO5OP53M9Y | Title: Develop-Tests | Description: Guide for creating strong empirical evaluations to measure LLM performance against success criteria] | [SourceFile: Claude_Api_3.txt]
[DocID: CLAUDE2I4PXB8T70 | Title: Embeddings | Description: Text embeddings overview - numerical representations for measuring semantic similarity and search] | [SourceFile: Claude_Api_3.txt]
[DocID: CLAUDETE7IYFSAY | Title: Eval-Tool | Description: Evaluation tool in Claude Console for testing prompts under various scenarios] | [SourceFile: Claude_Api_3.txt]
[DocID: CLAUDEGK5BSPX3H | Title: Extended-Thinking | Description: Extended thinking mode for deep reasoning and complex problem solving with configurable token budgets] | [SourceFile: Claude_Api_3.txt]
[DocID: CLAUDERXOC43O90 | Title: Extended-Thinking-Tips | Description: Tips and best practices for using extended thinking mode effectively] | [SourceFile: Claude_Api_3.txt]
[DocID: CLAUDECYU6EPKUE | Title: Files | Description: Files API for uploading and managing files to use with Claude API across multiple requests] | [SourceFile: Claude_Api_3.txt]
[DocID: CLAUDE5189VPHFS | Title: Fine-Grained-Tool-Streaming | Description: Fine-grained tool streaming for streaming tool use parameters without buffering or JSON validation] | [SourceFile: Claude_Api_4.txt]
[DocID: CLAUDE2164QT4KGN | Title: Get-Started | Description: Getting started guide with first API call and simple web search assistant example] | [SourceFile: Claude_Api_4.txt]
[DocID: CLAUDE1VC0OAGS34 | Title: Handle-Streaming-Refusals | Description: Handling streaming refusals when classifiers intervene for policy violations during streaming] | [SourceFile: Claude_Api_4.txt]
[DocID: CLAUDE26PCIYGXDV | Title: Hosting | Description: Hosting guide for deploying Claude Agent SDK in production with container-based sandboxing] | [SourceFile: Claude_Api_4.txt]
[DocID: CLAUDE1D7MGJB4V7 | Title: Implement-Tool-Use | Description: How to implement tool use including model selection, tool specification, and integration patterns] | [SourceFile: Claude_Api_4.txt]
[DocID: CLAUDE15FBYH4PPH | Title: Increase-Consistency | Description: Techniques for increasing output consistency including JSON mode and structured formatting] | [SourceFile: Claude_Api_4.txt]
[DocID: CLAUDE22S0UL21MW | Title: Intro | Description: Introduction to Claude API with core concepts, model information, and platform overview] | [SourceFile: Claude_Api_4.txt]
[DocID: CLAUDE1B8J8SEIV5 | Title: Keep-Claude-In-Character | Description: Role prompting and prefilling techniques for keeping Claude in character during long interactions] | [SourceFile: Claude_Api_4.txt]
[DocID: CLAUDE2C3YNPSHNI | Title: Long-Context-Tips | Description: Prompting tips for working with long contexts including document structuring and placement strategies] | [SourceFile: Claude_Api_4.txt]
[DocID: CLAUDE208WCOABPZ | Title: Mcp | Description: Model Context Protocol servers for extending Claude Code with custom tools and capabilities] | [SourceFile: Claude_Api_5.txt]
[DocID: CLAUDE1MTQKBACSK | Title: Mcp-Connector | Description: MCP connector for connecting to remote Model Context Protocol servers directly from Messages API] | [SourceFile: Claude_Api_4.txt]
[DocID: CLAUDE25LJKDFJ2Z | Title: Memory-Tool | Description: Memory tool for storing and retrieving information across conversations through persistent file storage] | [SourceFile: Claude_Api_5.txt]
[DocID: CLAUDE1R7QTZ4XMJ | Title: Migrating-To-Claude-4 | Description: Migration guide to Claude 4.5 models from Sonnet 3.7 and Haiku 3.5 with breaking changes] | [SourceFile: Claude_Api_5.txt]
[DocID: CLAUDE1WK65R6VHK | Title: Mitigate-Jailbreaks | Description: Strategies for mitigating jailbreaks and prompt injections including harmlessness screens] | [SourceFile: Claude_Api_5.txt]
[DocID: CLAUDE235AYS8XTQ | Title: Model-Deprecations | Description: Model deprecation notices, lifecycle stages, and recommended replacements for retired models] | [SourceFile: Claude_Api_5.txt]
[DocID: CLAUDEM3DVH3HRD | Title: Modifying-System-Prompts | Description: Guide for modifying system prompts using output styles, append mode, or custom prompts] | [SourceFile: Claude_Api_5.txt]
[DocID: CLAUDE1H5S95O7NN | Title: Multilingual-Support | Description: Multilingual support overview with performance benchmarks across languages relative to English] | [SourceFile: Claude_Api_5.txt]
[DocID: CLAUDE262VASMGI2 | Title: Multishot-Prompting | Description: Multishot prompting technique using examples to guide Claude's behavior and output format] | [SourceFile: Claude_Api_5.txt]
[DocID: CLAUDE1VZ2V8MYYX | Title: Overview | Description: Models overview introducing the Claude model family with performance comparisons and capabilities] | [SourceFile: Claude_Api_5.txt]
[DocID: CLAUDE49GBII30R | Title: Overview (1) | Description: Features overview exploring Claude's advanced capabilities across core and specialized functions] | [SourceFile: Claude_Api_5.txt]
[DocID: CLAUDE2DUAK471UO | Title: Pdf-Support | Description: PDF processing capabilities for extracting text, analyzing charts, and understanding visual content] | [SourceFile: Claude_Api_6.txt]
[DocID: CLAUDE1S6T9L6H7Z | Title: Permissions | Description: Permissions system for controlling tool usage and access in the Claude Agent SDK] | [SourceFile: Claude_Api_6.txt]
[DocID: CLAUDE1QLIGNGGOK | Title: Plugins | Description: Plugins system for extending Claude Code with custom commands, agents, skills, and hooks] | [SourceFile: Claude_Api_6.txt]
[DocID: CLAUDE28JJMCWMOH | Title: Prefill-Claudes-Response | Description: Response prefilling technique for steering Claude's output and controlling format] | [SourceFile: Claude_Api_6.txt]
[DocID: CLAUDE2E5EFBOZK8 | Title: Pricing | Description: Pricing information for Anthropic's models and features including token costs and billing rates] | [SourceFile: Claude_Api_6.txt]
[DocID: CLAUDE1HQYSDG1I4 | Title: Prompt Engineering Overview | Description: Prompt engineering fundamentals with best practices and optimization strategies] | [SourceFile: Claude_Api_6.txt]
[DocID: CLAUDE24HB8QAF9R | Title: Prompt-Caching | Description: Prompt caching feature for optimizing API usage by resuming from specific prefixes in prompts] | [SourceFile: Claude_Api_6.txt]
[DocID: CLAUDE2Q8OMZBES4 | Title: Prompt-Generator | Description: Prompt generator tool for automated prompt creation and template generation] | [SourceFile: Claude_Api_6.txt]
[DocID: CLAUDEZ8Q4R8HH0 | Title: Prompt-Improver | Description: Prompt improver tool for optimization suggestions and quality enhancement of existing prompts] | [SourceFile: Claude_Api_6.txt]
[DocID: CLAUDE1I070QOXXJ | Title: Prompt-Templates-And-Variables | Description: Prompt templates and variables for creating reusable prompt patterns with dynamic content substitution] | [SourceFile: Claude_Api_6.txt]
[DocID: CLAUDE1W95MBLPQ7 | Title: Python | Description: Python SDK API reference with complete documentation of functions, types, and classes] | [SourceFile: Claude_Api_7.txt]
[DocID: CLAUDE195BIC6H4B | Title: Reduce-Hallucinations | Description: Strategies for reducing hallucinations and improving factual accuracy in Claude's responses] | [SourceFile: Claude_Api_7.txt]
[DocID: CLAUDE1J06SMFV2H | Title: Reduce-Latency | Description: Latency reduction techniques for optimizing response speed and performance] | [SourceFile: Claude_Api_7.txt]
[DocID: CLAUDEG31JYGC3K | Title: Reduce-Prompt-Leak | Description: Strategies for preventing prompt leakage and protecting sensitive information in prompts] | [SourceFile: Claude_Api_7.txt]
[DocID: CLAUDE13Z9FDIR0R | Title: Remote-Mcp-Servers | Description: Remote MCP servers setup guide for distributed deployment and remote connections] | [SourceFile: Claude_Api_7.txt]
[DocID: CLAUDE60B2LVEJ | Title: Search-Results | Description: Search result content blocks for enabling natural citations in RAG applications with source attribution] | [SourceFile: Claude_Api_7.txt]
[DocID: CLAUDEG4WT6Z2EA | Title: Sessions | Description: Session management and session resumption capabilities in the Claude Agent SDK] | [SourceFile: Claude_Api_7.txt]
[DocID: CLAUDEOM9NFR2OS | Title: Skills | Description: Agent Skills in Claude Agent SDK for extending Claude with specialized capabilities] | [SourceFile: Claude_Api_7.txt]
[DocID: CLAUDE188Z4N2P07 | Title: Skills-Guide | Description: Comprehensive guide for using Agent Skills to extend Claude's capabilities through the API] | [SourceFile: Claude_Api_7.txt]
[DocID: CLAUDE24EN9MP6IA | Title: Slash-Commands | Description: Slash commands for controlling Claude Code sessions with special command syntax] | [SourceFile: Claude_Api_7.txt]
[DocID: CLAUDE22MO42TTTQ | Title: Streaming | Description: Streaming responses guide for incrementally receiving Claude's output using server-sent events] | [SourceFile: Claude_Api_8.txt]
[DocID: CLAUDE1Q0AYL9XM8 | Title: Streaming-Vs-Single-Mode | Description: Comparison of streaming and single-response input modes in Claude Agent SDK with use cases] | [SourceFile: Claude_Api_8.txt]
[DocID: CLAUDE1LG4K22HAV | Title: Structured-Outputs | Description: Structured outputs for constraining responses to follow specific schemas with JSON or regex] | [SourceFile: Claude_Api_8.txt]
[DocID: CLAUDE1AK61BPOH8 | Title: Subagents | Description: Subagents system for orchestrating specialized AIs within the Claude Agent SDK] | [SourceFile: Claude_Api_8.txt]
[DocID: CLAUDEED8E5NRLT | Title: System-Prompts | Description: System prompts guide for defining Claude's role, personality, and behavioral constraints] | [SourceFile: Claude_Api_8.txt]
[DocID: CLAUDE2IA8VLIF4U | Title: Text-Editor-Tool | Description: Text editor tool for viewing and modifying text files to debug and improve code] | [SourceFile: Claude_Api_8.txt]
[DocID: CLAUDERO4WV3KIP | Title: Todo-Tracking | Description: Todo tracking system for managing tasks and displaying progress in Claude Agent SDK] | [SourceFile: Claude_Api_8.txt]
[DocID: CLAUDELTDEMF9NF | Title: Token-Counting | Description: Token counting methods for determining token usage before sending messages to Claude] | [SourceFile: Claude_Api_8.txt]
[DocID: CLAUDE2EO9RV8IE2 | Title: Token-Efficient-Tool-Use | Description: Token-efficient tool use for reducing output tokens by 14% on average with optimized tool calling] | [SourceFile: Claude_Api_8.txt]
[DocID: CLAUDE2GQOTLP509 | Title: Tool_Overview | Description: Tool use overview explaining Claude's capabilities for interacting with external tools and functions] | [SourceFile: Claude_Api_8.txt]
[DocID: CLAUDEYMQTNG8LK | Title: Typescript | Description: TypeScript SDK API reference with complete documentation of functions, types, and interfaces] | [SourceFile: Claude_Api_9.txt]
[DocID: CLAUDE1KGVC2O2ED | Title: Usage-Cost-Api | Description: Usage and Cost Admin API for programmatically accessing organization API usage and cost data] | [SourceFile: Claude_Api_9.txt]
[DocID: CLAUDE26J0672AVE | Title: Use-Xml-Tags | Description: XML tags usage in prompts for structured formatting and improved parsing of complex content] | [SourceFile: Claude_Api_9.txt]
[DocID: CLAUDENLX3BQ5SW | Title: Vision | Description: Vision capabilities for understanding and analyzing images in Claude 3 and 4 model families] | [SourceFile: Claude_Api_9.txt]
[DocID: CLAUDEN0DEOSIL9 | Title: Web-Fetch-Tool | Description: Web fetch tool for retrieving full content from web pages and PDF documents] | [SourceFile: Claude_Api_9.txt]
[DocID: CLAUDE1TEBI0X13R | Title: Web-Search-Tool | Description: Web search tool for accessing real-time web content and up-to-date information beyond training data] | [SourceFile: Claude_Api_9.txt]
[DocID: CLAUDE221K1Z7AUU | Title: Whats-New-Claude-4-5 | Description: New features in Claude 4.5 including Sonnet 4.5 and Haiku 4.5 with updates and improvements] | [SourceFile: Claude_Api_9.txt]
[DocID: CLAUDE27LRE5TGOE | Title: Working-With-Messages | Description: Practical patterns and examples for working effectively with the Messages API] | [SourceFile: Claude_Api_9.txt]
--- END OF INDEX ---
