
[SYSTEM INSTRUCTION]
This is an AI Reference Sheet, a global manifest for multiple knowledge files.
1.  **Purpose:** This file is an index linking a document's `DocID`, `Title`, and `Description` to its `SourceFile`. It does not contain document text.
2.  **Structure:** `[DocID: ... | Title: ... | Description: ...] | [SourceFile: ...]`
[DocID: GEMINI1BNX91CDID | Title: File-Search.Md | Description: File searching, indexing, retrieval, and document discovery] | [SourceFile: Gemini_Api_3.txt]
[DocID: GEMINI1O1Y8T19V9 | Title: Files.Md | Description: File upload, management, storage, and file handling operations] | [SourceFile: Gemini_Api_3.txt]
[DocID: GEMINI5WBTXZ7SI | Title: Function-Calling.Md | Description: Function calling, tool use, API integrations, and external tool capabilities] | [SourceFile: Gemini_Api_3.txt]
[DocID: GEMINI1955I6NLHY | Title: Google-Search.Md | Description: Google Search integration, real-time information retrieval, and web grounding] | [SourceFile: Gemini_Api_4.txt]
[DocID: GEMINI2PJFPMRLHB | Title: Image-Generation.Md | Description: Image generation capabilities, image creation, and visual content synthesis] | [SourceFile: Gemini_Api_4.txt]
[DocID: GEMINI1E51EEWV1J | Title: Image-Understanding.Md | Description: Image analysis, visual understanding, object detection, and image interpretation] | [SourceFile: Gemini_Api_4.txt]
[DocID: GEMINI2MKGH0X99T | Title: Imagen.Md | Description: Imagen model documentation, advanced image generation features and capabilities] | [SourceFile: Gemini_Api_4.txt]
[DocID: GEMINIDXXRQ7EXM | Title: Langgraph-Example.Md | Description: LangGraph framework integration examples and workflow orchestration patterns] | [SourceFile: Gemini_Api_4.txt]
[DocID: GEMINI2BAMWS94BK | Title: Libraries.Md | Description: SDK libraries, client libraries, language bindings, and development tools] | [SourceFile: Gemini_Api_5.txt]
[DocID: GEMINIAMLA3TTBH | Title: Live-Guide.Md | Description: Live API usage guide, real-time interactions, and live session best practices] | [SourceFile: Gemini_Api_5.txt]
[DocID: GEMINI5JH13AULJ | Title: Live-Session.Md | Description: Live session management, connection handling, and session lifecycle] | [SourceFile: Gemini_Api_5.txt]
[DocID: GEMINI126SU1453R | Title: Live-Tools.Md | Description: Tools and utilities for live API interactions and real-time features] | [SourceFile: Gemini_Api_5.txt]
[DocID: GEMINI1D041ZGWSY | Title: Live.Md | Description: Live API overview, real-time streaming, bidirectional communication features] | [SourceFile: Gemini_Api_5.txt]
[DocID: GEMINI2LD4YEERS8 | Title: Llama-Index.Md | Description: LlamaIndex framework integration, data connectors, and indexing patterns] | [SourceFile: Gemini_Api_6.txt]
[DocID: GEMINI765VA757G | Title: Logs-Datasets.Md | Description: Logging datasets, data collection, analytics, and usage tracking] | [SourceFile: Gemini_Api_6.txt]
[DocID: GEMINIC2SY0E8MA | Title: Logs-Policy.Md | Description: Logging policies, data privacy, retention policies, and compliance information] | [SourceFile: Gemini_Api_6.txt]
[DocID: GEMINI685ULQTYF | Title: Long-Context.Md | Description: Long context handling, extended context windows, and large document processing] | [SourceFile: Gemini_Api_6.txt]
[DocID: GEMINI10CE81457F | Title: Maps-Grounding.Md | Description: Maps integration, location grounding, geographic data, and spatial understanding] | [SourceFile: Gemini_Api_6.txt]
[DocID: GEMINI2R9GYN0X53 | Title: Migrate.Md | Description: Migration guide, version upgrades, compatibility, and transition strategies] | [SourceFile: Gemini_Api_7.txt]
[DocID: GEMINIKC0KFN9AS | Title: Model-Tuning.Md | Description: Model fine-tuning, customization, training, and model adaptation] | [SourceFile: Gemini_Api_7.txt]
[DocID: GEMINI29MP6QALJB | Title: Models.Md | Description: Available models, model specifications, capabilities, and version information] | [SourceFile: Gemini_Api_7.txt]
[DocID: GEMINIIY8S004EO | Title: Music-Generation.Md | Description: Music and audio generation, composition, and creative audio synthesis] | [SourceFile: Gemini_Api_7.txt]
[DocID: GEMINI1OXOF70MLJ | Title: Openai.Md | Description: OpenAI API compatibility, migration from OpenAI, and equivalent features] | [SourceFile: Gemini_Api_7.txt]
[DocID: GEMINI1ITCZO8ZZJ | Title: Overview | Description: Gemini API overview, introduction, core concepts, and getting started information] | [SourceFile: Gemini_Api_8.txt]
[DocID: GEMINIGLPD6Q4GV | Title: Pricing.Md | Description: Pricing plans, costs, billing rates, and usage-based pricing information] | [SourceFile: Gemini_Api_8.txt]
[DocID: GEMINI2B5MXY0FV9 | Title: Prompting-Strategies.Md | Description: Prompt engineering, best practices, optimization techniques, and effective prompting] | [SourceFile: Gemini_Api_8.txt]
[DocID: GEMINI1VMKWHC0GW | Title: Quickstart.Md | Description: Quick start guide, initial setup, first API calls, and basic tutorials] | [SourceFile: Gemini_Api_8.txt]
[DocID: GEMINI2PC0NRH2BV | Title: Rate-Limits.Md | Description: API rate limits, quotas, throttling, and usage restrictions] | [SourceFile: Gemini_Api_8.txt]
[DocID: GEMINIGQ4E79TWD | Title: Robotics-Overview.Md | Description: Robotics applications, robot control, automation, and robotics use cases] | [SourceFile: Gemini_Api_9.txt]
[DocID: GEMINI14LRMKB8X | Title: Safety-Guidance.Md | Description: Safety guidelines, responsible AI use, ethical considerations, and safety best practices] | [SourceFile: Gemini_Api_9.txt]
[DocID: GEMINI8IHK9YJ2Y | Title: Safety-Settings.Md | Description: Safety configuration, content filtering, harm categories, and safety thresholds] | [SourceFile: Gemini_Api_9.txt]
[DocID: GEMINIRM1DZ9NBF | Title: Speech-Generation.Md | Description: Speech synthesis, text-to-speech, voice generation, and audio output] | [SourceFile: Gemini_Api_9.txt]
[DocID: GEMINI1BYL1QPDZ3 | Title: Structured-Output.Md | Description: Structured output formatting, JSON schema, controlled generation, and output parsing] | [SourceFile: Gemini_Api_9.txt]
[DocID: GEMINI23ET0N5ZMQ | Title: Text-Generation.Md | Description: Text generation capabilities, content creation, and natural language generation] | [SourceFile: Gemini_Api_10.txt]
[DocID: GEMINI4PH6T8ALN | Title: Thinking.Md | Description: Extended reasoning, chain-of-thought, complex problem solving, and thinking modes] | [SourceFile: Gemini_Api_10.txt]
[DocID: GEMINI2F0UL09YJM | Title: Tokens.Md | Description: Token counting, tokenization, token limits, and token management] | [SourceFile: Gemini_Api_10.txt]
[DocID: GEMINIUDQ3K9NM6 | Title: Troubleshooting.Md | Description: Common issues, error messages, debugging, and problem resolution guides] | [SourceFile: Gemini_Api_10.txt]
[DocID: GEMINI19TE9YRB5P | Title: Url-Context.Md | Description: URL context integration, web page grounding, and URL-based information retrieval] | [SourceFile: Gemini_Api_10.txt]
[DocID: GEMINI2NHRMHAKWD | Title: Vercel-Ai-Sdk-Example.Md | Description: Vercel AI SDK integration examples, deployment patterns, and framework usage] | [SourceFile: Gemini_Api_11.txt]
[DocID: GEMINI2IYET955G2 | Title: Video-Understanding.Md | Description: Video analysis, video understanding, temporal reasoning, and video interpretation] | [SourceFile: Gemini_Api_11.txt]
[DocID: GEMINI8YOUZTXZE | Title: Video.Md | Description: Video input processing, video handling, and video upload capabilities] | [SourceFile: Gemini_Api_11.txt]
--- END OF INDEX ---
